word,part_of_speech,definition
particular,a.,特定的；特殊的；挑剔 力
precaution,n.,预防，警惕；预防措施
precious,a.,珍贵的；宝贵的
quota,n.,定额，配额
precise,a.,准确的，精确的
quote,vt.,引用；引证；报价
predict,vt.,预言，预告
pregnant,a.,怀孕的
prejudice,n.,成见，偏见
pretend,v.,假装
racial,a.,种族的
previous,a.,先，前；先前
rare,a.,稀有的，罕见的；稀疏的
primarily,ad.,首先，主要地
raw,a.,生的；未加工的；原始的
primitive,a.,原始的；简单的
reaction,n.,反应；反作用(力)
principal,a.,最重要的；资本的，本金
reap,v.,收割， 收获
reasonable,a.,通情达理的；公道的
prior,a.,在…之前，优先的
recall,vt.,回忆，想起；收回
privilege,n.,特权；优惠
recession,n.,不景气，经济衰退
nise,vt.,认出；承认
proceed,vi.,继续进行
recommend,vt.,推荐，介绍；劝告
recover,v.,康复；收回；重新获得
recreation,n.,娱乐，消遣
productive,a.,生产的，多产的
reduce,v.,减少，缩小；简化
reflect,v.,反射，反映；思考
prohibit,vt.,禁止，不准
regular,a.,定期的；匀称的；经常的
promote,vt.,促进；提升；提倡；促销
proof,n.,证明；证据；校样
reinforce,vt.,加强，增援
proper,a.,适当的；合乎规矩的；本身
property,n.,财产；性能，特性
prosperous,a.,繁荣的，昌盛的
relax,v.,放松，休息；松懈
psychological,a.,心理上的，心理学的
release,vt.,释放；解除；发行，发表
punctual,a.,准时的，正点的
reliable,a.,可靠的
punish,vt.,处罚，惩罚
relieve,vt.,解除；救济
religious,a.,宗教(上)的；虔诚的 购买的物品
reluctant,a.,勉强的，不情愿的
pursue,vt.,追逐；追求，从事
remarkable,a.,显著的，值得注意的，异
puzzle,v.,(使)困感，(使)为难；(使) 常的
repetition,n.,重复，反复
qualify,v.,使合格，使胜任
replace,vt.,放回原处；取代
quit,v.,离开，退出；放弃
represent,vt.,表示；描述；代表
reputation,n.,名声，名誉，声望
scarce,a.,缺乏的；稀少的
scarcely,ad.,几乎不，简直不；刚刚
resemble,vt.,像，类似
scare,vt.,受惊，惊恐 金)
scheme,n.,计划，规划；阴谋
resign,v.,辞职；放弃；听从
resist,v.,抵抗，抵制
secondary,a.,中级的；次要的
sensible,a.,明智的，合情理的
respective,a.,各自的，各个的
sensitive,a.,敏感的；灵敏的
responsible,a.,(应)负责任的；可靠的
setback,n.,挫折
restore,vt.,恢复；修复；归还
settle,v.,解决；定居；安排；停息；付
restrict,vt.,限制，约束 还； 结算，结账
retain,vt.,保留，保持
severe,a.,严重的；严厉的；艰难的
reveal,vt.,揭露；泄露；显示
shame,n.,耻辱，羞耻，憾事
revenue,n.,营业收入；收入总额；岁人
shift,v.,变换，转换，移动
ripe,a.,熟的，成熟的
shock,n.,冲击，震动；震惊；休克
shortage,n.,缺乏，不足
rob,vt.,抢劫；盗取；非法剥夺
shortcoming,n.,缺点，短处
robot,n.,机器人
shortcut,n.,捷径
role,n.,任务；角色；作用
shy,a.,害羞的，腼腆的
rough,a.,粗(制)的；粗暴的；粗略的
sightseeing,n.,观光，游览
routine,n.,常规，惯例，例行公事
significant,a.,重要的；有意义的
royal,a.,王室的，皇家的
similar,a.,相似的，类似的
skilled,a.,熟练的，有技能的
rural,a.,农村的
slightly,ad.,有点，稍微
smooth,a.,平滑的；平稳的；流畅的
soak,v.,浸，泡；浸湿；使湿透
sacred,a.,神圣的
sole,a.,惟一的，单独的
sacrifice,n.,牺牲；牺牲品；祭品
solve,vt.,解决，解答
sake,n.,缘故，理由
sorrow,n.,悲痛，悲哀
source,n.,来源，出处；根源
spare,v.,抽出(时间)；饶恕；保留，节
ise(in),vi.,专门研究，专攻
supreme,a.,最高的；最重要的
surface,n.,表面；外表，外观
specific,a.,具体的；特定的；明确的
surgeon,n.,外科医生
specification,n.,规格，说明书
surgery,n.,外科，外科手术；手术室
specify,vt.,具体指定，详细说明
surname,n.,姓
speculation,n.,投机
surpass,v.,超越，胜过
splendid,a.,辉煌的；极好的
surplus,n.,过剩；结余
spoil,v.,损坏，使无用；宠坏
surrender,v.,投降；屈服于；放弃
sponsor,n.,主办人，发起人
survive,v.,幸存，活下来；比…命长
stability,n.,稳定，稳定性；安定
suspicion,n.,猜疑，怀疑，疑心
swear,v.,发誓，宣誓；咒骂
starve,v.,饥饿；饿死
status,n.,地位，身份
swift,a.,迅速的，敏捷的
steady,a.,稳定的；稳重的；扎实的
stimulate,vt.,刺激；激发；激励
symbol,n.,象征；标记，符号
stockholder,n.,股东；持股人
sympathetic,a.,同情的
strategy,n.,战略，策略，计谋
symptom,n.,症状，症候
synthetic,a.,合成的；人造的 调，着重；重读
subjective,a.,主观的；想像中的
teamwork,n.,配合，协力
technique,n.,技术；手艺
technology,n.,技术；工艺；工艺学
successful,a.,成功的，有成就的
tedious,a.,乏味的，冗长的
successive,a.,接连的，连续的
temper,n.,性情；脾气
sufficient,a.,足够的，充分的
temporary,a.,临时的，暂时的
summarize,vt.,概括，总结，概述
temptation,n.,引诱，诱惑
superficial,a.,表面的；肤浅的
tendency,n.,倾向，趋势
superior,a.,优越的；优于…的
tender,a.,温柔的；体贴的；脆嫩的
supervise,v.,监督；管理
tension,n.,紧张，绷紧
terrific,a.,极好的，非常的
territory,n.,领土；领域
variety,n.,多种多样；变化；品种
therefore,ad.,因此，所以
various,a.,各种各样的；多方面的
thirsty,a.,口渴的；渴望的
vary,v.,变化，改变；相异
thoughtful,a.,深思的；体贴的，关心的
vast,a.,巨大的，广阔的；大量的
threaten,v.,威胁，恐吓；有…危险
verify,vt.,证明，证实；查清
timely,a.,及时的，适时的
viceversa,ad.,反过来(也是这样)
timid,a.,胆怯的，怯懦的
victim,n.,牺牲品；受害者
tiny,a.,微小的，极小的
violence,n.,暴力，暴行；剧烈
virtue,n.,美德；优点
vital,a.,生死攸关的；极为重要的
tolerate,vt.,忍受；容忍
vivid,a.,生动的，栩栩如生的
tough,a.,坚韧的；强硬的；棘手的，困
tragic,a.,悲剧的，悲惨的
transmit,vt.,传递；传播，播送
transparent,a.,透明的；明显的
weaken,v.,变弱；削弱
wealth,n.,财富；大量
welfare,n.,福利，福利事业
tremendous,a.,巨大的，惊人的
wild,a.,野生的；野性的；荒凉的；狂
willing,a.,乐意的；心甘情愿的
ultimate,a.,最后的，最终的
wise,a.,有智慧的；聪明的
undergo,vt.,经历，遭受
withdraw,vt.,收回；撤退；提款
unique,a.,独特的，独一无二的
worthy,a.,值得…的；有价值的；可尊
universal,a.,普遍的；通用的；全世界的 敬的； 配得上的
urban,a.,城市的
yield,v.,产生，出产；让步，屈服；倒
urgent,a.,紧急的，急迫的
zeal,n.,热情，热忱
vacant,a.,空的；未被占用的
vague,a.,模糊的；不明确的
vanish,vi.,消失；消散；消灭
ad,v.,顺时针方向的（地）
coerce,vt.,强迫，胁迫
coincidence,n.,巧合
accommodate,vt.,向…提供住宿；使适
collide(with),vi.,碰撞
commemorate,vt.,纪念
comply(with),vi.,遵从，依从
console,vt.,安慰，慰问
betray,vt.,背叛；（非故意地）暴露
contaminate,vt.,弄脏，污染
bewilder,vt.,使迷惑
contemplate,vt.,盘算，思量
blur,v.,（使）变模糊
contradict,vt.,否认…的真实性；与…矛
counterpart,n.,与对方地位相当的人；与
coward,n.,胆小鬼，懦夫
criterion,n.,（批评、判断等的）标准
dazzle,vt.,使眩目；使惊叹不已
certify,vt.,证明
depict,vt.,描述，描绘 等）已废弃的；（火山等）不再活跃的
descendant,n.,后代 灭绝的，绝种的
deteriorate,vi.,恶化，变坏
dilemma,n.,（进退两难的）窘境
facet,n.,（问题等的）一个方面
diploma,n.,毕业证书，资格证书
flaw,n.,缺点，瑕疵
forum,n.,论坛
distract,vt.,使分心，转移（注意力
fragrance,n.,芳香
dodge,vt.,回避，逃避
glamour,n.,魅力，诱惑力
haul,vt.,（用力）拖，拉
elapse,vi.,（时间）流逝，过去
heritage,n.,遗产，继承物
elevate,vt.,提升，提高
humidity,n.,潮湿，湿度
hypothesis,n.,假设，假说
erase,vt.,擦掉，抹去，清楚
idiot,n.,白痴
evoke,vt.,唤起，引起
exclusivelyad,v.,排外地，仅仅
impair,vt.,损害；削弱
expertise,n.,专门知识（技能），专长
inspiration,n.,鼓舞人心的人/事；灵感
novelty,n.,新奇；新奇事物
oath,n.,誓言，誓约；咒骂，诅咒语
offset,vt.,抵消
overlap,v.,（与…）部分重叠，（与…） 的 部分相同
peril,n.,（巨大的）危险
jeopardize,vt.,危及，损害
kidnap,vt.,绑架，诱拐
presume,vt.,推测，认为
priority,n.,优先（权）；优先考虑的事
mansion,n.,大厦；（豪华的）宅邸
questionnaire,n.,问卷
manuscript,n.,手稿，底稿
reassure,vt.,使放心
undermine,vt.,侵蚀…的基础；逐渐破坏 而）被解雇的 /削弱
remainder,n.,剩余的部分
upgrade,vt.,提升，使升级
verge,n.,边缘
simulate,vt.,模仿，模拟
slump,vi.,暴跌
withhold,vt.,扣留，拒绝给予
spouse,n.,配偶
strive,vi.,努力，力求
tease,vt.,戏弄，挑逗
terminate,v.,停止，（使）终止
throne,n.,宝座，王位
